,Date,Open,High,Low,Close*,Adj Close**,Volume
65,"Aug 06, 2020",3323.17,3351.03,3318.14,3349.16,3349.16,4267490000
66,"Aug 05, 2020",3317.37,3330.77,3317.37,3327.77,3327.77,4732220000
67,"Aug 04, 2020",3289.92,3306.84,3286.37,3306.51,3306.51,4621670000
68,"Aug 03, 2020",3288.26,3302.73,3284.53,3294.61,3294.61,4643640000
69,"Jul 31, 2020",3270.45,3272.17,3220.26,3271.12,3271.12,5117260000
70,"Jul 30, 2020",3231.76,3250.92,3204.13,3246.22,3246.22,4254010000
71,"Jul 29, 2020",3227.22,3264.74,3227.22,3258.44,3258.44,4676300000
72,"Jul 28, 2020",3234.27,3243.72,3216.17,3218.44,3218.44,4027890000
73,"Jul 27, 2020",3219.84,3241.43,3214.25,3239.41,3239.41,3963910000
74,"Jul 24, 2020",3218.58,3227.26,3200.05,3215.63,3215.63,3894900000
75,"Jul 23, 2020",3271.64,3279.99,3222.66,3235.66,3235.66,4290460000
76,"Jul 22, 2020",3254.86,3279.32,3253.10,3276.02,3276.02,4255190000
77,"Jul 21, 2020",3268.52,3277.29,3247.77,3257.30,3257.30,4547960000
78,"Jul 20, 2020",3224.29,3258.61,3215.16,3251.84,3251.84,3971200000
79,"Jul 17, 2020",3224.21,3233.52,3205.65,3224.73,3224.73,3993830000
80,"Jul 16, 2020",3208.36,3220.39,3198.59,3215.57,3215.57,3961230000
81,"Jul 15, 2020",3225.98,3238.28,3200.76,3226.56,3226.56,4669760000
82,"Jul 14, 2020",3141.11,3200.95,3127.66,3197.52,3197.52,4476170000
83,"Jul 13, 2020",3205.08,3235.32,3149.43,3155.22,3155.22,4890780000
84,"Jul 10, 2020",3152.47,3186.82,3136.22,3185.04,3185.04,4515340000
85,"Jul 09, 2020",3176.17,3179.78,3115.70,3152.05,3152.05,4829020000
86,"Jul 08, 2020",3153.07,3171.80,3136.53,3169.94,3169.94,4927700000
87,"Jul 07, 2020",3166.44,3184.15,3142.93,3145.32,3145.32,4563700000
88,"Jul 06, 2020",3155.29,3182.59,3155.29,3179.72,3179.72,4736450000
89,"Jul 02, 2020",3143.64,3165.81,3124.52,3130.01,3130.01,4190830000
90,"Jul 01, 2020",3105.92,3128.44,3101.17,3115.86,3115.86,4443130000
91,"Jun 30, 2020",3050.20,3111.51,3047.83,3100.29,3100.29,4696280000
92,"Jun 29, 2020",3018.59,3053.89,2999.74,3053.24,3053.24,4462770000
93,"Jun 26, 2020",3073.20,3073.73,3004.63,3009.05,3009.05,8098120000
94,"Jun 25, 2020",3046.60,3086.25,3024.01,3083.76,3083.76,4815420000
95,"Jun 24, 2020",3114.40,3115.01,3032.13,3050.33,3050.33,5587200000
96,"Jun 23, 2020",3138.70,3154.90,3127.12,3131.29,3131.29,4704830000
97,"Jun 22, 2020",3094.42,3120.92,3079.39,3117.86,3117.86,4665380000
98,"Jun 19, 2020",3140.29,3155.53,3083.11,3097.74,3097.74,8327780000
99,"Jun 18, 2020",3101.64,3120.00,3093.51,3115.34,3115.34,4429030000
100,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
